,sales
0,31
1,9
2,94
3,29
4,4
5,15
6,5
7,5
8,8
9,8
10,3
11,2
12,3
13,8
14,39
15,1
16,2
17,7
18,42
19,5
20,3
21,7
22,18
23,44
24,19
25,3
26,26
27,5
28,11
29,11
30,39
31,6
32,6
33,29
34,31
35,6
36,11
37,4
38,11
39,8
40,2
41,6
42,15
43,58
44,1
45,39
46,50
47,33
48,5
49,30
50,26
51,8
52,8
53,49
54,6
55,11
56,2
57,10
58,33
59,8
60,17
61,10
62,1
63,30
64,4
65,10
66,5
67,13
68,4
69,11
70,131
71,23
72,1
73,17
74,26
75,158
76,20
77,10
78,13
79,2
80,37
81,46
82,9
83,33
84,97
85,13
86,2
87,165
88,18
89,24
90,2
91,49
92,35
93,1
94,157
95,85
96,13
97,60
98,12
99,2
100,38
101,14
102,13
103,13
104,79
105,22
106,12
107,4
108,1
109,12
110,11
111,146
112,23
113,8
114,64
115,3
116,37
117,22
118,23
119,14
120,42
121,36
122,3
123,23
124,8
125,18
126,8
127,21
128,5
129,44
130,2
131,12
132,58
133,73
134,10
135,2
136,31
137,64
138,5
139,8
140,33
141,3
142,54
143,8
144,12
145,32
146,55
147,5
148,5
149,35
150,12
151,31
152,3
153,12
154,9
155,4
156,8
157,2
158,2
159,11
160,9
161,16
162,3
163,21
164,43
165,41
166,44
167,17
168,8
169,103
170,76
171,9
172,10
173,42
174,6
175,18
176,15
177,1
178,9
179,5
180,5
181,8
182,9
183,7
184,12
185,8
186,4
187,11
188,33
189,26
190,116
191,5
192,5
193,6
194,7
195,5
196,2
197,6
198,8
199,13
200,14
201,2
202,32
203,16
204,5
205,20
206,32
207,62
208,8
209,111
210,3
211,9
212,2
213,16
214,43
215,7
216,5
217,8
218,28
219,24
220,12
221,26
222,28
223,1
224,43
225,8
226,15
227,3
228,5
229,5
230,1
231,35
232,37
233,29
234,18
235,4
236,30
237,3
238,36
239,17
240,45
241,32
242,46
243,3
244,29
245,14
246,15
247,3
248,3
249,13
250,8
251,15
252,15
253,57
254,3
255,3
256,9
257,16
258,7
259,44
260,9
261,1
262,9
263,83
264,2
265,15
266,3
267,10
268,13
269,45
270,48
271,8
272,24
273,44
274,89
275,16
276,15
277,118
278,10
279,2
280,38
281,5
282,6
283,52
284,11
285,101
286,3
287,12
288,3
289,42
290,10
291,5
292,23
293,9
294,7
295,85
296,3
297,12
298,2
299,9
300,5
301,14
302,17
303,30
304,32
305,19
306,14
307,31
308,3
309,79
310,4
311,2
312,17
313,29
314,5
315,14
316,2
317,15
318,40
319,6
320,116
321,3
322,3
323,35
324,3
325,5
326,25
327,14
328,210
329,39
330,17
331,7
332,27
333,37
334,1
335,27
336,19
337,11
338,24
339,4
340,17
341,5
342,23
343,37
344,12
345,68
346,82
347,82
348,13
349,5
350,1
351,17
352,11
353,5
354,21
355,3
356,3
357,24
358,1
359,4
360,5
361,4
362,11
363,11
364,59
365,10
366,9
367,24
368,2
369,44
370,10
371,29
372,10
373,20
374,7
375,17
376,30
377,25
378,4
379,45
380,2
381,4
382,11
383,27
384,25
385,6
386,81
387,3
388,6
389,5
390,17
391,2
392,2
393,10
394,78
395,43
396,74
397,5
398,33
399,4
400,40
401,2
402,27
403,8
404,27
405,14
406,13
407,35
408,30
409,21
410,5
411,8
412,4
413,117
414,115
415,20
416,15
417,11
418,18
419,64
420,10
421,24
422,5
423,2
424,5
425,19
426,36
427,126
428,2
429,18
430,19
431,8
432,8
433,16
434,21
435,65
436,6
437,39
438,5
439,18
440,21
441,16
442,14
443,8
444,11
445,15
446,61
447,8
448,35
449,60
450,17
451,52
452,3
453,3
454,98
455,217
456,13
457,30
458,26
459,10
460,9
461,41
462,27
463,7
464,13
465,1
466,12
467,1
468,17
469,10
470,14
471,3
472,56
473,41
474,26
475,9
476,4
477,17
478,90
479,2
480,44
481,10
482,87
483,49
484,2
485,18
486,5
487,14
488,24
489,22
490,12
491,4
492,52
493,7
494,8
495,10
496,28
497,49
498,9
499,24
500,8
501,16
502,10
503,9
504,8
505,31
506,15
507,23
508,2
509,13
510,22
511,7
512,2
513,150
514,16
515,19
516,16
517,10
518,3
519,7
520,26
521,46
522,1
523,4
524,3
525,10
526,28
527,3
528,19
529,4
530,22
531,16
532,37
533,11
534,2
535,10
536,35
537,105
538,1
539,22
540,6
541,22
542,1
543,8
544,151
545,26
546,5
547,84
548,11
549,44
550,9
551,9
552,3
553,5
554,17
555,2
556,14
557,2
558,55
559,6
560,20
561,97
562,9
563,18
564,25
565,5
566,148
567,11
568,293
569,2
570,53
571,9
572,5
573,10
574,15
575,23
576,54
577,133
578,26
579,9
580,6
581,46
582,6
583,44
584,11
585,4
586,8
587,4
588,27
589,2
590,3
591,3
592,6
593,3
594,36
595,6
596,24
597,25
598,4
599,23
600,44
601,11
602,26
603,6
604,3
605,17
606,24
607,3
608,26
609,29
610,3
611,79
612,4
613,11
614,30
615,10
616,10
617,6
618,1
619,1
620,18
621,23
622,7
623,35
624,41
625,23
626,8
627,18
628,21
629,23
630,19
631,2
632,26
633,73
634,6
635,71
636,214
637,4
638,7
639,14
640,44
641,23
642,3
643,32
644,91
645,27
646,20
647,20
648,9
649,35
650,17
651,15
652,18
653,49
654,5
655,30
656,5
657,5
658,5
659,9
660,6
661,27
662,1
663,5
664,51
665,43
666,5
667,27
668,9
669,8
670,37
671,122
672,2
673,4
674,6
675,3
676,23
677,207
678,3
679,12
680,12
681,5
682,15
683,4
684,34
685,2
686,70
687,7
688,72
689,25
690,4
691,5
692,124
693,9
694,6
695,11
696,42
697,8
698,9
699,1
700,15
701,9
702,53
703,10
704,43
705,49
706,60
707,1
708,50
709,1
710,76
711,22
712,9
713,2
714,11
715,7
716,6
717,3
718,1
719,542
720,33
721,23
722,11
723,18
724,6
725,1
726,49
727,2
728,13
729,12
730,111
731,51
732,5
733,22
734,3
735,16
736,16
737,5
738,32
739,10
740,31
741,6
742,14
743,14
744,8
745,8
746,9
747,26
748,7
749,30
750,8
751,7
752,1
753,133
754,32
755,1
756,2
757,1
758,1
759,1
760,5
761,17
762,13
763,26
764,12
765,23
766,88
767,39
768,52
769,12
770,14
771,430
772,10
773,11
774,29
775,11
776,53
777,16
778,6
779,11
780,25
781,54
782,25
783,23
784,1
785,19
786,5
787,22
788,20
789,17
790,13
791,2
792,2
793,8
794,39
795,7
796,2
797,16
798,3
799,56
800,13
801,6
802,3
803,49
804,3
805,47
806,41
807,1
808,1
809,38
810,3
811,29
812,30
813,18
814,37
815,80
816,33
817,28
818,47
819,5
820,6
821,27
822,11
823,15
824,9
825,2
826,16
827,12
828,73
829,5
830,32
831,3
832,4
833,17
834,27
835,2
836,12
837,5
838,25
839,3
840,179
841,9
842,8
843,70
844,1
845,8
846,3
847,27
848,3
849,55
850,15
851,25
852,7
853,6
854,14
855,47
856,4
857,56
858,77
859,93
860,14
861,8
862,2
863,7
864,1
865,12
866,1
867,3
868,11
869,11
870,22
871,57
872,6
873,3
874,7
875,2
876,18
877,9
878,15
879,9
880,5
881,28
882,3
883,3
884,1
885,4
886,96
887,99
888,2
889,10
890,4
891,31
892,9
893,4
894,3
895,1
896,51
897,9
898,1
899,81
900,55
901,10
902,85
903,2
904,15
905,15
906,17
907,5
908,20
909,21
910,64
911,8
912,14
913,36
914,7
915,2
916,44
917,2
918,7
919,4
920,3
921,43
922,2
923,9
924,7
925,13
926,19
927,62
928,1
929,2
930,15
931,4
932,9
933,20
934,35
935,8
936,2
937,8
938,27
939,18
940,5
941,3
942,8
