,Normal,Exponential,Empirical
4.4B_Bagging(No_PCA),0.6557749571101146,0.7435877420600601,0.7408570527255243
5.1_Quantile_regression_forest(No_PCA),0.6547569149153055,0.7434148211387379,0.7403899052661124
4.2B_Random_forest(No_PCA),0.6536853069486435,0.7426150705917746,0.7398515368682379
4.3B_Gradient_boosting(No_PCA),0.6495055406280278,0.7135470784921472,0.7166810212444776
4.2B_Decision_tree(No_PCA),0.5505312325201795,0.6592606564224073,0.6632905229312039
3.1B_KNN(No_PCA),0.5909107486635568,0.6568975550332088,0.6539364989974429
4.2A_Random_forest,0.2715597732216103,0.31502924930146403,0.3303457732170204
4.3A_Gradient_boosting,0.23415965316437465,0.3193457267284513,0.32852714643768394
2.6_Poly_reg_lasso,0.2673899424175868,0.2784950434784557,0.31538397847279537
3.1A_KNN,0.25969153158880803,0.2496986086096685,0.2985681717107935
4.1A_Decision_tree,0.244453588162336,0.2607908923411767,0.2865163956998412
2.4_Lin_reg_lasso,0.11673434999551187,0.19676176580519306,0.23950005139106906
2.5_Poly_reg_ridge,0.08553478807392094,0.18654361141538364,0.2306849512172312
2.3_Lin_reg_ridge,0.08553478807392094,0.18654361141538364,0.2306849512172312
2.1A_Lin_reg,-0.16557606022583696,0.08820283415665495,0.1447298029344009
2.2A_Poly_reg,-0.1881327569700036,0.0818788749833766,0.1373348201508599
2.1B_Lin_reg(No_PCA),-7926499.806720236,-1151773.2815352795,-1048389.1626398213
2.2B_Poly_reg(No PCA),-7926499.806720236,-1151773.2815352795,-1048389.1626398213
